timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,ask_price_1_rolling_mean,ask_price_1_rolling_std,ask_price_1_lower_band,bid_price_1_rolling_mean,bid_price_1_rolling_std,bid_price_1_upper_band,calculated_bid_value,calculated_ask_value
0,5002,1,4997.0,31.0,,,5003,31,,,,,5002.5,,,,,,,99945.0,100060.0
100,4997,24,,,,,5003,2,5004.0,22.0,,,5000.0,,,,,,,99940.0,100078.0
200,4997,2,4996.0,20.0,,,5003,20,,,,,5000.0,,,,,,,99922.0,100060.0
300,4996,31,,,,,5003,31,,,,,4999.5,,,,,,,99920.0,100060.0
400,4995,27,,,,,5002,27,,,,,4998.5,,,,,,,99900.0,100040.0
500,4996,30,,,,,5003,30,,,,,4999.5,,,,,,,99920.0,100060.0
600,4999,5,4997.0,6.0,4996.0,25.0,5003,25,,,,,5001.0,,,,,,,99950.0,100060.0
700,4997,2,4996.0,23.0,,,5003,23,,,,,5000.0,,,,,,,99922.0,100060.0
800,4997,30,,,,,5003,1,5004.0,29.0,,,5000.0,,,,,,,99940.0,100079.0
900,4997,23,,,,,5003,1,5004.0,22.0,,,5000.0,,,,,,,99940.0,100079.0
1000,4996,26,,,,,5001,6,5003.0,26.0,,,4998.5,,,,,,,99920.0,100048.0
1100,4998,6,4997.0,26.0,,,5004,26,,,,,5001.0,,,,,,,99946.0,100080.0
1200,4997,21,,,,,5002,8,5004.0,21.0,,,4999.5,,,,,,,99940.0,100064.0
1300,4997,31,,,,,5003,1,5004.0,30.0,,,5000.0,,,,,,,99940.0,100079.0
1400,4997,3,4996.0,25.0,,,5003,26,,,,,5000.0,,,,,,,99923.0,100060.0
1500,4996,27,,,,,5003,27,,,,,4999.5,,,,,,,99920.0,100060.0
1600,4996,29,,,,,5001,4,5003.0,29.0,,,4998.5,,,,,,,99920.0,100052.0
1700,4997,22,,,,,5002,8,5003.0,2.0,5004.0,20.0,4999.5,,,,,,,99940.0,100052.0
1800,4997,1,4996.0,22.0,,,5003,23,,,,,5000.0,,,,,,,99921.0,100060.0
1900,4997,1,4996.0,28.0,,,5001,5,5003.0,29.0,,,4999.0,5002.6,0.820782681667935,5000.958434636665,4997.05,1.4317821063275926,4999.913564212656,99921.0,100050.0
2000,4996,26,,,,,5003,26,,,,,4999.5,5002.6,0.820782681667935,5000.958434636665,4996.75,0.8506963092234173,4998.451392618447,99920.0,100060.0
2100,4997,2,4996.0,25.0,,,5003,27,,,,,5000.0,5002.6,0.820782681667935,5000.958434636665,4996.75,0.8506963092234173,4998.451392618447,99922.0,100060.0
2200,4997,1,4996.0,24.0,,,5001,7,5003.0,25.0,,,4999.0,5002.5,0.8885233166384444,5000.722953366723,4996.75,0.8506963092234173,4998.451392618447,99921.0,100046.0
2300,4997,32,,,,,5003,2,5004.0,30.0,,,5000.0,5002.5,0.8885233166384444,5000.722953366723,4996.8,0.8335087534664963,4998.467017506933,99940.0,100078.0
2400,4997,28,,,,,5004,29,,,,,5000.5,5002.6,0.940324691963114,5000.719350616074,4996.9,0.7181848464595564,4998.336369692919,99940.0,100080.0
2500,4997,3,4996.0,22.0,,,5003,23,,,,,5000.0,5002.6,0.940324691963114,5000.719350616074,4996.95,0.6863327411531567,4998.322665482307,99923.0,100060.0
2600,4998,3,4997.0,23.0,,,5004,23,,,,,5001.0,5002.65,0.9880869341679643,5000.673826131664,4996.9,0.5525062514530208,4998.005012502906,99943.0,100080.0
2700,4998,26,,,,,5005,26,,,,,5001.5,5002.75,1.1180339887497899,5000.513932022501,4996.95,0.6048053188291849,4998.159610637658,99960.0,100100.0
2800,4997,25,,,,,5004,25,,,,,5000.5,5002.8,1.1516578439247604,5000.496684312151,4996.95,0.6048053188291849,4998.159610637658,99940.0,100080.0
2900,4996,26,,,,,5003,26,,,,,4999.5,5002.8,1.1516578439247604,5000.496684312151,4996.9,0.640723275517132,4998.181446551034,99920.0,100060.0
3000,4997,3,4996.0,26.0,,,5003,26,,,,,5000.0,5002.9,1.0711528467274367,5000.757694306545,4996.95,0.6048053188291849,4998.159610637658,99923.0,100060.0
